,NAME,S1901_C04_012E
609,ZCTA5 02639,34792
610,ZCTA5 02641,-
611,ZCTA5 02642,44423
612,ZCTA5 02643,-
613,ZCTA5 02644,33701
614,ZCTA5 02645,49098
615,ZCTA5 02646,40750
616,ZCTA5 02647,-
617,ZCTA5 02648,83162
618,ZCTA5 02649,43500
619,ZCTA5 02650,49053
620,ZCTA5 02652,83145
621,ZCTA5 02653,43542
622,ZCTA5 02655,72739
623,ZCTA5 02657,60938
624,ZCTA5 02659,53077
625,ZCTA5 02660,38676
626,ZCTA5 02663,54081
627,ZCTA5 02664,32266
628,ZCTA5 02666,-
629,ZCTA5 02667,57713
630,ZCTA5 02668,95236
631,ZCTA5 02670,40078
632,ZCTA5 02671,50737
633,ZCTA5 02672,-
634,ZCTA5 02673,41891
635,ZCTA5 02675,49643
636,ZCTA5 02702,83327
637,ZCTA5 02703,39423
638,ZCTA5 02713,-
639,ZCTA5 02715,33832
640,ZCTA5 02717,47750
641,ZCTA5 02718,53021
642,ZCTA5 02719,39701
643,ZCTA5 02720,39217
644,ZCTA5 02721,23114
645,ZCTA5 02723,27446
646,ZCTA5 02724,29583
647,ZCTA5 02725,85135
648,ZCTA5 02726,50446
649,ZCTA5 02738,83375
650,ZCTA5 02739,57015
651,ZCTA5 02740,28552
652,ZCTA5 02743,41713
653,ZCTA5 02744,35942
654,ZCTA5 02745,40440
655,ZCTA5 02746,25359
656,ZCTA5 02747,37993
657,ZCTA5 02748,38846
658,ZCTA5 02760,46410
659,ZCTA5 02762,58529
660,ZCTA5 02763,57801
661,ZCTA5 02764,57109
662,ZCTA5 02766,68063
663,ZCTA5 02767,36793
664,ZCTA5 02769,51342
665,ZCTA5 02770,84913
666,ZCTA5 02771,50464
667,ZCTA5 02777,41518
668,ZCTA5 02779,88272
669,ZCTA5 02780,40064
670,ZCTA5 02790,53188
671,ZCTA5 02791,-
672,ZCTA5 02802,-
673,ZCTA5 02804,112432
674,ZCTA5 02806,49176
675,ZCTA5 02807,61761
676,ZCTA5 02808,22190
677,ZCTA5 02809,47037
678,ZCTA5 02812,-
679,ZCTA5 02813,48056
680,ZCTA5 02814,49306
681,ZCTA5 02815,-
682,ZCTA5 02816,47152
683,ZCTA5 02817,100833
684,ZCTA5 02818,57582
685,ZCTA5 02822,31917
686,ZCTA5 02823,-
687,ZCTA5 02824,-
688,ZCTA5 02825,56429
689,ZCTA5 02826,-
690,ZCTA5 02827,60074
691,ZCTA5 02828,45646
692,ZCTA5 02829,-
693,ZCTA5 02830,-
694,ZCTA5 02831,115033
695,ZCTA5 02832,49063
696,ZCTA5 02833,18508
697,ZCTA5 02835,32303
698,ZCTA5 02836,-
699,ZCTA5 02837,58023
700,ZCTA5 02838,46400
701,ZCTA5 02839,41658
702,ZCTA5 02840,54074
703,ZCTA5 02841,-
704,ZCTA5 02842,56791
705,ZCTA5 02852,52476
706,ZCTA5 02857,59023
707,ZCTA5 02858,96389
708,ZCTA5 02859,53466
709,ZCTA5 02860,31605
710,ZCTA5 02861,45335
711,ZCTA5 02863,22871
712,ZCTA5 02864,36997
713,ZCTA5 02865,55023
714,ZCTA5 02871,45609
715,ZCTA5 02872,-
716,ZCTA5 02873,-
717,ZCTA5 02874,76667
718,ZCTA5 02875,78835
719,ZCTA5 02876,26944
720,ZCTA5 02878,48006
721,ZCTA5 02879,53281
722,ZCTA5 02881,49688
723,ZCTA5 02882,34583
724,ZCTA5 02885,34260
725,ZCTA5 02886,43636
726,ZCTA5 02888,43434
727,ZCTA5 02889,40296
728,ZCTA5 02891,47831
729,ZCTA5 02892,52352
730,ZCTA5 02893,42462
731,ZCTA5 02894,70813
732,ZCTA5 02895,28660
733,ZCTA5 02896,35571
734,ZCTA5 02898,46029
735,ZCTA5 02903,39136
736,ZCTA5 02904,35659
737,ZCTA5 02905,18984
738,ZCTA5 02906,63077
739,ZCTA5 02907,26943
740,ZCTA5 02908,47531
741,ZCTA5 02909,35223
742,ZCTA5 02910,48988
743,ZCTA5 02911,54677
744,ZCTA5 02912,-
745,ZCTA5 02914,28032
746,ZCTA5 02915,37759
747,ZCTA5 02916,50132
748,ZCTA5 02917,30321
749,ZCTA5 02918,-
750,ZCTA5 02919,44983
751,ZCTA5 02920,35913
752,ZCTA5 02921,60455
753,ZCTA5 03031,77050
754,ZCTA5 03032,95795
755,ZCTA5 03033,71944
756,ZCTA5 03034,47326
757,ZCTA5 03036,82689
758,ZCTA5 03037,60000
759,ZCTA5 03038,50546
760,ZCTA5 03042,54519
761,ZCTA5 03043,73750
762,ZCTA5 03044,75972
763,ZCTA5 03045,54050
764,ZCTA5 03046,50833
765,ZCTA5 03047,43958
766,ZCTA5 03048,39706
767,ZCTA5 03049,64577
768,ZCTA5 03051,59952
769,ZCTA5 03052,68750
770,ZCTA5 03053,56742
771,ZCTA5 03054,67424
772,ZCTA5 03055,41968
773,ZCTA5 03057,81250
774,ZCTA5 03060,38799
775,ZCTA5 03062,59728
776,ZCTA5 03063,67043
777,ZCTA5 03064,42615
778,ZCTA5 03070,78012
779,ZCTA5 03071,56740
780,ZCTA5 03076,50875
781,ZCTA5 03077,57275
782,ZCTA5 03079,46870
783,ZCTA5 03082,57813
784,ZCTA5 03084,47259
785,ZCTA5 03086,44706
786,ZCTA5 03087,68681
787,ZCTA5 03101,44464
788,ZCTA5 03102,41190
789,ZCTA5 03103,52246
790,ZCTA5 03104,51640
791,ZCTA5 03106,49366
792,ZCTA5 03109,58917
793,ZCTA5 03110,56924
794,ZCTA5 03215,59167
795,ZCTA5 03216,48466
796,ZCTA5 03217,32500
797,ZCTA5 03218,33106
798,ZCTA5 03220,33947
799,ZCTA5 03221,42569
800,ZCTA5 03222,37404
801,ZCTA5 03223,43633
802,ZCTA5 03224,62841
803,ZCTA5 03225,52830
804,ZCTA5 03226,58750
805,ZCTA5 03227,166714
806,ZCTA5 03229,54375
807,ZCTA5 03230,38654
808,ZCTA5 03231,-
809,ZCTA5 03233,-
810,ZCTA5 03234,47321
811,ZCTA5 03235,31583
812,ZCTA5 03237,72813
813,ZCTA5 03238,38550
814,ZCTA5 03240,39531
815,ZCTA5 03241,53125
816,ZCTA5 03242,31080
817,ZCTA5 03243,50000
818,ZCTA5 03244,46420
819,ZCTA5 03245,46250
820,ZCTA5 03246,40303
821,ZCTA5 03249,46875
822,ZCTA5 03251,30833
823,ZCTA5 03253,29799
824,ZCTA5 03254,68750
825,ZCTA5 03255,54375
826,ZCTA5 03256,52917
827,ZCTA5 03257,31522
828,ZCTA5 03258,-
829,ZCTA5 03259,71829
830,ZCTA5 03260,70208
831,ZCTA5 03261,40909
832,ZCTA5 03262,48625
833,ZCTA5 03263,31923
