START DATE(UTC), END DATE(UTC), START TIME(LOCAL), END TIME(LOCAL), DURATION, NAME, LOCATION, NOTE
2/14/20 4:55, 2020-02-14 04:59:29, 2020-02-13 20:55:14 PST, 2020-02-13 20:59:29 PST,255, Walk, , 
2/14/20 5:01, 2020-02-14 05:08:07, 2020-02-13 21:01:04 PST, 2020-02-13 21:08:07 PST,423, Transport, , 
2/14/20 5:08, 2020-02-14 18:00:49, 2020-02-13 21:08:07 PST, 2020-02-14 10:00:49 PST,46362, Home, , 
2/14/20 8:50, 2020-02-14 15:03:26, 2020-02-14 00:50:03 PST, 2020-02-14 07:03:26 PST,22403, Sleep, , 
2/14/20 18:07, 2020-02-14 18:38:41, 2020-02-14 10:07:09 PST, 2020-02-14 10:38:41 PST,1892, Home, , 
2/14/20 18:59, 2020-02-14 19:06:45, 2020-02-14 10:59:50 PST, 2020-02-14 11:06:45 PST,415, Transport, , 
2/14/20 19:21, 2020-02-14 19:54:13, 2020-02-14 11:21:44 PST, 2020-02-14 11:54:13 PST,1949, Transport, , 
2/14/20 19:54, 2020-02-14 20:58:38, 2020-02-14 11:54:13 PST, 2020-02-14 12:58:38 PST,3865, Home, , 
2/14/20 20:58, 2020-02-14 21:01:18, 2020-02-14 12:58:37 PST, 2020-02-14 13:01:18 PST,161, Commute to work, , 
2/14/20 20:58, 2020-02-14 21:01:18, 2020-02-14 12:58:38 PST, 2020-02-14 13:01:18 PST,160, Transport, , 
2/14/20 21:01, 2020-02-14 21:09:24, 2020-02-14 13:01:18 PST, 2020-02-14 13:09:24 PST,486, School, , 
2/14/20 21:09, 2020-02-14 22:07:40, 2020-02-14 13:09:24 PST, 2020-02-14 14:07:40 PST,3496, School, , 
2/14/20 22:07, 2020-02-14 22:16:50, 2020-02-14 14:07:39 PST, 2020-02-14 14:16:50 PST,551, Commute to home, , 
